id,workPackageId,fechaCorte,avanceFisico,costoRealAcum
wp-ing-2025-09-30,wp-ing,2025-09-30,0.0515,73100
wp-ing-2025-10-31,wp-ing,2025-10-31,0.1966,228338
wp-ing-2025-11-30,wp-ing,2025-11-30,0.3906,409277
wp-ing-2025-12-31,wp-ing,2025-12-31,0.6094,597319
wp-ing-2026-01-31,wp-ing,2026-01-31,0.8092,760102
wp-ing-2026-02-28,wp-ing,2026-02-28,0.9416,864615
wp-ing-2026-03-31,wp-ing,2026-03-31,1,910000
wp-ing-2026-04-30,wp-ing,2026-04-30,1,910000
wp-ing-2026-05-31,wp-ing,2026-05-31,1,910000
wp-ing-2026-06-30,wp-ing,2026-06-30,1,910000
wp-ing-2026-07-30,wp-ing,2026-07-30,1,910000
wp-adq-2025-11-30,wp-adq,2025-11-30,0.0184,130305
wp-adq-2025-12-31,wp-adq,2025-12-31,0.0735,423235
wp-adq-2026-01-31,wp-adq,2026-01-31,0.1572,807408
wp-adq-2026-02-28,wp-adq,2026-02-28,0.2504,1199336
wp-adq-2026-03-31,wp-adq,2026-03-31,0.3655,1653845
wp-adq-2026-04-30,wp-adq,2026-04-30,0.4812,2089166
wp-adq-2026-05-31,wp-adq,2026-05-31,0.597,2509653
wp-adq-2026-06-30,wp-adq,2026-06-30,0.6979,2865695
wp-adq-2026-07-30,wp-adq,2026-07-30,0.78,3150000
wp-civ-2026-01-31,wp-civ,2026-01-31,0.0045,34584
wp-civ-2026-02-28,wp-civ,2026-02-28,0.0317,183566
wp-civ-2026-03-31,wp-civ,2026-03-31,0.0859,428150
wp-civ-2026-04-30,wp-civ,2026-04-30,0.1565,712946
wp-civ-2026-05-31,wp-civ,2026-05-31,0.242,1032664
wp-civ-2026-06-30,wp-civ,2026-06-30,0.3309,1347304
wp-civ-2026-07-30,wp-civ,2026-07-30,0.42,1650000
wp-duc-2026-03-31,wp-duc,2026-03-31,0.0193,250898
wp-duc-2026-04-30,wp-duc,2026-04-30,0.0717,766283
wp-duc-2026-05-31,wp-duc,2026-05-31,0.152,1451873
wp-duc-2026-06-30,wp-duc,2026-06-30,0.2467,2191633
wp-duc-2026-07-30,wp-duc,2026-07-30,0.35,2950000
wp-mon-2026-05-31,wp-mon,2026-05-31,0.0158,139308
wp-mon-2026-06-30,wp-mon,2026-06-30,0.0583,422255
wp-mon-2026-07-30,wp-mon,2026-07-30,0.12,780000
